"species","decimalLatitude","decimalLongitude"
"Eucalyptus tereticornis",-33.758333,150.816667
"Eucalyptus tereticornis",-22.5,148
"Eucalyptus tereticornis",-35.266667,150.433333
"Eucalyptus tereticornis",-15.75,145.25
"Eucalyptus tereticornis",-34.069167,150.767778
"Eucalyptus tereticornis",-32.372222,151.825
"Eucalyptus tereticornis",-36.637554,149.580403
"Eucalyptus tereticornis",-16.595541,145.33918
"Eucalyptus tereticornis",-27.6721,152.152222
"Eucalyptus tereticornis",-33.719303,150.947002
"Eucalyptus tereticornis",-33.969738,150.937431
"Eucalyptus tereticornis",-33.66724,150.75251
"Eucalyptus tereticornis",-34.226117,150.822054
"Eucalyptus tereticornis",-34.083562,150.831336
"Eucalyptus tereticornis",-31.031747,152.234437
"Eucalyptus tereticornis",-33.782837,150.743848
"Eucalyptus tereticornis",-33.739739,150.999299
"Eucalyptus tereticornis",-33.844913,150.860139
"Eucalyptus tereticornis",-28.848708,153.050297
"Eucalyptus tereticornis",-34.075048,150.788441
"Eucalyptus tereticornis",-33.743751,150.777945
"Eucalyptus tereticornis",-32.859344,151.605158
"Eucalyptus tereticornis",-31.522364,152.409329
"Eucalyptus tereticornis",-33.099638,151.55167
"Eucalyptus tereticornis",-33.52214,150.867596
"Eucalyptus tereticornis",-28.505503,152.307621
"Eucalyptus tereticornis",-32.71905,152.118568
"Eucalyptus tereticornis",-28.836506,153.130073
"Eucalyptus tereticornis",-32.777769,151.490193
"Eucalyptus tereticornis",-33.881691,150.83593
"Eucalyptus tereticornis",-33.828413,150.656019
"Eucalyptus tereticornis",-33.675827,151.113391
"Eucalyptus tereticornis",-33.689241,150.936913
"Eucalyptus tereticornis",-33.24468,151.431152
"Eucalyptus tereticornis",-29.835462,152.778586
"Eucalyptus tereticornis",-33.968877,150.216851
"Eucalyptus tereticornis",-28.77704,153.220832
"Eucalyptus tereticornis",-32.300016,150.883114
"Eucalyptus tereticornis",-33.79762,150.84212
"Eucalyptus tereticornis",-34.089313,150.822596
"Eucalyptus tereticornis",-33.544386,150.919909
"Eucalyptus tereticornis",-33.833029,150.875362
"Eucalyptus tereticornis",-33.97295,150.935777
"Eucalyptus tereticornis",-33.858581,151.083586
"Eucalyptus tereticornis",-33.734652,150.216434
"Eucalyptus tereticornis",-33.933291,150.97841
"Eucalyptus tereticornis",-29.839501,152.311237
"Eucalyptus tereticornis",-33.9746,150.846512
"Eucalyptus tereticornis",-30.739625,152.014798
"Eucalyptus tereticornis",-33.40367,151.473997
"Eucalyptus tereticornis",-32.507396,151.24247
"Eucalyptus tereticornis",-29.544322,152.6866
"Eucalyptus tereticornis",-33.198487,151.402112
"Eucalyptus tereticornis",-34.8651,149.951188
"Eucalyptus tereticornis",-33.019408,151.662266
"Eucalyptus tereticornis",-33.890801,151.045548
"Eucalyptus tereticornis",-32.86787,151.524317
"Eucalyptus tereticornis",-36.596875,149.726684
"Eucalyptus tereticornis",-32.141444,151.279551
"Eucalyptus tereticornis",-32.89997,151.275131
"Eucalyptus tereticornis",-28.493822,152.893452
"Eucalyptus tereticornis",-32.569627,151.358385
"Eucalyptus tereticornis",-32.70851,150.328989
"Eucalyptus tereticornis",-33.804558,150.658031
"Eucalyptus tereticornis",-28.403528,153.13735
"Eucalyptus tereticornis",-33.83009,151.02143
"Eucalyptus tereticornis",-33.877245,150.778122
"Eucalyptus tereticornis",-34.169867,150.725643
"Eucalyptus tereticornis",-35.931206,150.086448
"Eucalyptus tereticornis",-33.518945,150.857297
"Eucalyptus tereticornis",-33.621516,150.878515
"Eucalyptus tereticornis",-30.90713,152.943265
"Eucalyptus tereticornis",-32.699138,151.318368
"Eucalyptus tereticornis",-34.398294,150.11445
"Eucalyptus tereticornis",-29.014906,152.892489
"Eucalyptus tereticornis",-35.632476,149.770723
"Eucalyptus tereticornis",-36.637204,149.851669
"Eucalyptus tereticornis",-33.315576,151.08466
"Eucalyptus tereticornis",-33.956247,150.965457
"Eucalyptus tereticornis",-29.636397,152.301643
"Eucalyptus tereticornis",-29.107918,153.36774
"Eucalyptus tereticornis",-36.615654,149.497919
"Eucalyptus tereticornis",-28.834217,153.151976
"Eucalyptus tereticornis",-33.961498,150.933966
"Eucalyptus tereticornis",-34.05587,150.572741
"Eucalyptus tereticornis",-34.006531,150.831597
"Eucalyptus tereticornis",-33.829284,150.836403
"Eucalyptus tereticornis",-34.222688,150.602313
"Eucalyptus tereticornis",-28.834228,153.320987
"Eucalyptus tereticornis",-32.786376,151.348627
"Eucalyptus tereticornis",-32.969154,151.563137
"Eucalyptus tereticornis",-35.868543,150.115957
"Eucalyptus tereticornis",-33.97564,150.917375
"Eucalyptus tereticornis",-34.798853,150.013858
"Eucalyptus tereticornis",-29.113337,152.601897
"Eucalyptus tereticornis",-32.63089,151.999036
"Eucalyptus tereticornis",-34.202759,150.782873
"Eucalyptus tereticornis",-31.451847,152.333317
"Eucalyptus tereticornis",-29.95196,152.994968
"Eucalyptus tereticornis",-33.795797,150.818979
"Eucalyptus tereticornis",-33.136507,151.508762
"Eucalyptus tereticornis",-33.548694,150.858288
"Eucalyptus tereticornis",-33.607523,150.911259
"Eucalyptus tereticornis",-32.705756,151.956926
"Eucalyptus tereticornis",-32.297976,151.699798
"Eucalyptus tereticornis",-32.718592,152.103392
"Eucalyptus tereticornis",-32.431957,150.936843
"Eucalyptus tereticornis",-29.706947,152.332168
"Eucalyptus tereticornis",-34.451815,150.818509
"Eucalyptus tereticornis",-34.210248,150.180202
"Eucalyptus tereticornis",-33.840955,151.238094
"Eucalyptus tereticornis",-28.803684,153.192276
"Eucalyptus tereticornis",-32.772345,151.178992
"Eucalyptus tereticornis",-32.375795,151.122419
"Eucalyptus tereticornis",-33.083495,151.442428
"Eucalyptus tereticornis",-31.429561,152.294314
"Eucalyptus tereticornis",-31.470494,152.281604
"Eucalyptus tereticornis",-34.623423,150.851172
"Eucalyptus tereticornis",-33.050228,151.480547
"Eucalyptus tereticornis",-33.730186,150.956175
"Eucalyptus tereticornis",-36.667154,149.647499
"Eucalyptus tereticornis",-32.701321,151.326519
"Eucalyptus tereticornis",-35.924775,150.075133
"Eucalyptus tereticornis",-33.809506,150.771763
"Eucalyptus tereticornis",-36.581817,149.862029
"Eucalyptus tereticornis",-31.867519,152.489246
"Eucalyptus tereticornis",-29.841853,152.087021
"Eucalyptus tereticornis",-29.482077,152.446929
"Eucalyptus tereticornis",-33.986785,150.831863
"Eucalyptus tereticornis",-29.694244,152.525545
"Eucalyptus tereticornis",-33.08406,151.442214
"Eucalyptus tereticornis",-36.656267,149.686318
"Eucalyptus tereticornis",-33.951541,150.975881
"Eucalyptus tereticornis",-29.808319,152.204256
"Eucalyptus tereticornis",-31.035011,152.048526
"Eucalyptus tereticornis",-36.650236,149.713039
"Eucalyptus tereticornis",-34.148995,150.556073
"Eucalyptus tereticornis",-32.140277,151.879845
"Eucalyptus tereticornis",-34.099342,150.732517
"Eucalyptus tereticornis",-29.653759,152.343885
"Eucalyptus tereticornis",-29.11077,153.332669
"Eucalyptus tereticornis",-33.821439,150.817384
"Eucalyptus tereticornis",-33.790944,150.895111
"Eucalyptus tereticornis",-28.559096,152.887456
"Eucalyptus tereticornis",-33.627948,150.833099
"Eucalyptus tereticornis",-29.171738,153.008824
"Eucalyptus tereticornis",-29.835929,152.777322
"Eucalyptus tereticornis",-32.143988,151.261756
"Eucalyptus tereticornis",-32.651304,151.86548
"Eucalyptus tereticornis",-33.636384,150.779549
"Eucalyptus tereticornis",-36.424208,149.889162
"Eucalyptus tereticornis",-32.547699,151.307195
"Eucalyptus tereticornis",-31.656483,151.376356
"Eucalyptus tereticornis",-31.437821,152.385835
"Eucalyptus tereticornis",-32.2841,151.9362
"Eucalyptus tereticornis",-29.689479,152.107006
"Eucalyptus tereticornis",-33.591587,150.881421
"Eucalyptus tereticornis",-30.853249,152.067122
"Eucalyptus tereticornis",-33.68044,150.99519
"Eucalyptus tereticornis",-33.676881,150.876033
"Eucalyptus tereticornis",-33.62812,150.137544
"Eucalyptus tereticornis",-30.155341,152.290371
"Eucalyptus tereticornis",-29.829473,152.792107
"Eucalyptus tereticornis",-34.242437,150.357193
"Eucalyptus tereticornis",-33.946316,150.728304
"Eucalyptus tereticornis",-31.439078,151.896774
"Eucalyptus tereticornis",-31.750321,151.693215
"Eucalyptus tereticornis",-33.796424,150.819161
"Eucalyptus tereticornis",-33.839324,151.060276
"Eucalyptus tereticornis",-34.08048,150.832423
"Eucalyptus tereticornis",-29.838396,152.784377
"Eucalyptus tereticornis",-31.637576,152.826101
"Eucalyptus tereticornis",-34.786671,150.103459
"Eucalyptus tereticornis",-28.929971,151.957548
"Eucalyptus tereticornis",-28.471752,152.293316
"Eucalyptus tereticornis",-32.73601,151.763203
"Eucalyptus tereticornis",-34.185856,150.584492
"Eucalyptus tereticornis",-31.934297,150.804511
"Eucalyptus tereticornis",-31.493474,151.565872
"Eucalyptus tereticornis",-34.481954,150.823307
"Eucalyptus tereticornis",-33.804857,150.796861
"Eucalyptus tereticornis",-33.744744,150.829156
"Eucalyptus tereticornis",-28.940993,153.315098
"Eucalyptus tereticornis",-34.049812,150.852024
"Eucalyptus tereticornis",-28.86562,153.502836
"Eucalyptus tereticornis",-33.879066,150.750757
"Eucalyptus tereticornis",-32.73049,151.380322
"Eucalyptus tereticornis",-35.638613,150.022006
"Eucalyptus tereticornis",-29.241599,152.646424
"Eucalyptus tereticornis",-28.438781,152.925492
"Eucalyptus tereticornis",-32.326048,150.944451
"Eucalyptus tereticornis",-36.637685,149.579491
"Eucalyptus tereticornis",-32.7818,151.35106
"Eucalyptus tereticornis",-30.754469,152.198318
"Eucalyptus tereticornis",-32.722144,151.765689
"Eucalyptus tereticornis",-33.809095,150.669572
"Eucalyptus tereticornis",-34.351308,150.452157
"Eucalyptus tereticornis",-34.0798,150.096795
"Eucalyptus tereticornis",-30.09494,152.301596
"Eucalyptus tereticornis",-29.896445,153.063225
"Eucalyptus tereticornis",-34.154362,150.682571
"Eucalyptus tereticornis",-35.699257,150.203651
"Eucalyptus tereticornis",-32.640387,151.688383
"Eucalyptus tereticornis",-33.704904,150.903451
"Eucalyptus tereticornis",-30.872845,152.032413
"Eucalyptus tereticornis",-28.671485,152.945377
"Eucalyptus tereticornis",-32.220126,152.540504
"Eucalyptus tereticornis",-31.866327,152.486662
"Eucalyptus tereticornis",-31.588702,151.715131
"Eucalyptus tereticornis",-32.451743,152.228177
"Eucalyptus tereticornis",-34.489209,150.771375
"Eucalyptus tereticornis",-34.101815,150.785306
"Eucalyptus tereticornis",-33.373142,151.47809
"Eucalyptus tereticornis",-33.723496,150.969315
"Eucalyptus tereticornis",-29.63023,152.741219
"Eucalyptus tereticornis",-32.091836,149.878977
"Eucalyptus tereticornis",-32.631766,151.246
"Eucalyptus tereticornis",-33.717654,150.846075
"Eucalyptus tereticornis",-33.438318,150.88797
"Eucalyptus tereticornis",-32.702867,151.803741
"Eucalyptus tereticornis",-32.483713,151.777054
"Eucalyptus tereticornis",-36.68433,149.985592
