"species","X","Y"
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",152.55,-27.11667
"Phoracantha recurva",135.6833,-16.56667
"Phoracantha recurva",150.850006,-33.76667
"Phoracantha recurva",121.4667,-30.75
"Phoracantha recurva",133.4167,-22.11667
"Phoracantha recurva",143.85,-37.56667
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",138.71666,-34.98333
"Phoracantha recurva",148.883333,-30.35
"Phoracantha recurva",128.1,-15.46667
"Phoracantha recurva",152.0333,-25.58333
"Phoracantha recurva",150.4,-35.5
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",149.116669,-35.283333
"Phoracantha recurva",153.283333,-27.533333
"Phoracantha recurva",146.583328,-18.733334
"Phoracantha recurva",151.25,-23.85
"Phoracantha recurva",152.933333,-29.683333
"Phoracantha recurva",114.6167,-28.66667
"Phoracantha recurva",149.116669,-35.366661
"Phoracantha recurva",130.3667,-25.15
"Phoracantha recurva",150.666667,-31.65
"Phoracantha recurva",147.6333,-22.83333
"Phoracantha recurva",150.516693,-23.366671
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",152.4167,-24.76667
"Phoracantha recurva",132.15,-11.15
"Phoracantha recurva",114,-23.81667
"Phoracantha recurva",141.233337,-36.76667
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",150.183334,-35.633331
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",151.15,-33.883333
"Phoracantha recurva",145.483333,-17.466667
"Phoracantha recurva",151.95,-27.56
"Phoracantha recurva",152.283333,-32.066667
"Phoracantha recurva",142.2667,-34.76667
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",141.833328,-35.48333
"Phoracantha recurva",149.133333,-35.3
"Phoracantha recurva",146.183334,-36.316669
"Phoracantha recurva",144.766667,-38.366667
"Phoracantha recurva",150.666667,-31.65
"Phoracantha recurva",138.616667,-31.333333
"Phoracantha recurva",151.5,-30.63333
"Phoracantha recurva",149.100006,-35.26667
