"species","X","Y"
"Eucalyptus camaldulensis",145.01045,-37.79121
"Eucalyptus camaldulensis",143.38436,-37.7345
"Eucalyptus camaldulensis",143.14339,-37.91376
"Eucalyptus camaldulensis",145.76083,-36.66556
"Eucalyptus camaldulensis",141.15585,-36.9507
"Eucalyptus camaldulensis",145.25934,-36.26964
"Eucalyptus camaldulensis",141.94694,-37.20861
"Eucalyptus camaldulensis",145.3269,-36.84284
"Eucalyptus camaldulensis",145.31865,-36.22756
"Eucalyptus camaldulensis",144.98972,-37.63167
"Eucalyptus camaldulensis",144.95823,-35.96265
"Eucalyptus camaldulensis",143.3235,-36.94302
"Eucalyptus camaldulensis",143.32652,-37.85138
"Eucalyptus camaldulensis",144.94917,-37.58333
"Eucalyptus camaldulensis",141.06058,-37.22685
"Eucalyptus camaldulensis",141.35136,-37.04018
"Eucalyptus camaldulensis",143.42954,-37.7202
"Eucalyptus camaldulensis",142.48056,-34.78944
"Eucalyptus camaldulensis",142.35667,-36.83806
"Eucalyptus camaldulensis",145.2425,-37.72528
"Eucalyptus camaldulensis",143.50603,-37.27309
"Eucalyptus camaldulensis",145.15472,-36.20722
"Eucalyptus camaldulensis",145.08861,-37.65028
"Eucalyptus camaldulensis",143.32009,-36.93825
"Eucalyptus camaldulensis",145.20113,-38.07283
"Eucalyptus camaldulensis",142.94722,-37.24556
"Eucalyptus camaldulensis",144.84603,-37.5857
"Eucalyptus camaldulensis",144.64667,-37.90611
"Eucalyptus camaldulensis",144.27806,-38.09194
"Eucalyptus camaldulensis",142.19772,-37.77091
"Eucalyptus camaldulensis",141.56091,-37.0335
"Eucalyptus camaldulensis",144.30861,-38.14944
"Eucalyptus camaldulensis",144.21364,-35.71963
"Eucalyptus camaldulensis",144.9091,-36.85239
"Eucalyptus camaldulensis",143.69495,-37.97101
"Eucalyptus camaldulensis",144.7425,-37.59972
"Eucalyptus camaldulensis",141.92502,-37.65691
"Eucalyptus camaldulensis",141.6397,-37.6257
"Eucalyptus camaldulensis",145.13569,-37.61966
"Eucalyptus camaldulensis",141.43717,-37.26323
"Eucalyptus camaldulensis",145.60031,-36.79571
"Eucalyptus camaldulensis",141.45017,-37.62977
"Eucalyptus camaldulensis",142.35472,-34.70395
"Eucalyptus camaldulensis",144.20057,-36.742
"Eucalyptus camaldulensis",145.17837,-36.18565
"Eucalyptus camaldulensis",144.10111,-36.94278
"Eucalyptus camaldulensis",143.5661,-37.20101
"Eucalyptus camaldulensis",144.91724,-36.85037
"Eucalyptus camaldulensis",142.06806,-35.56028
"Eucalyptus camaldulensis",145.78465,-36.67379
"Eucalyptus camaldulensis",144.8478,-37.5809
"Eucalyptus camaldulensis",142.46387,-34.77744
"Eucalyptus camaldulensis",141.8536,-37.1607
"Eucalyptus camaldulensis",142.3775,-34.33167
"Eucalyptus camaldulensis",141.18401,-36.50436
"Eucalyptus camaldulensis",145.08333,-37.67556
"Eucalyptus camaldulensis",141.9247,-37.5444
"Eucalyptus camaldulensis",143.71175,-37.88414
"Eucalyptus camaldulensis",141.1427,-34.0915
"Eucalyptus camaldulensis",146.18492,-36.05902
"Eucalyptus camaldulensis",143.7261,-37.84843
"Eucalyptus camaldulensis",145.12058,-37.80127
"Eucalyptus camaldulensis",144.955,-37.69694
"Eucalyptus camaldulensis",144.9375,-37.01194
"Eucalyptus camaldulensis",142.96795,-37.22109
"Eucalyptus camaldulensis",144.73889,-37.86889
"Eucalyptus camaldulensis",144.59944,-37.90972
"Eucalyptus camaldulensis",142.2625,-36.67333
"Eucalyptus camaldulensis",141.39588,-36.89993
"Eucalyptus camaldulensis",143.83423,-37.12106
"Eucalyptus camaldulensis",146.325,-36.309
"Eucalyptus camaldulensis",144.6575,-37.71472
"Eucalyptus camaldulensis",144.96833,-37.645
"Eucalyptus camaldulensis",146.22575,-36.12602
"Eucalyptus camaldulensis",143.00807,-37.41341
"Eucalyptus camaldulensis",142.54861,-34.76361
"Eucalyptus camaldulensis",142.0174,-37.3775
"Eucalyptus camaldulensis",144.28392,-35.67087
"Eucalyptus camaldulensis",142.46838,-34.77982
"Eucalyptus camaldulensis",146.28799,-36.17094
"Eucalyptus camaldulensis",143.37285,-37.73147
"Eucalyptus camaldulensis",143.29526,-37.83032
"Eucalyptus camaldulensis",145.08611,-37.61778
"Eucalyptus camaldulensis",143.30837,-36.93056
"Eucalyptus camaldulensis",144.99764,-37.50933
"Eucalyptus camaldulensis",145.20444,-38.0525
"Eucalyptus camaldulensis",142.38037,-34.75445
"Eucalyptus camaldulensis",146.09778,-37.06222
"Eucalyptus camaldulensis",144.06015,-38.04281
"Eucalyptus camaldulensis",146.26013,-36.09148
"Eucalyptus camaldulensis",141.5651,-37.2269
"Eucalyptus camaldulensis",144.04932,-38.03506
"Eucalyptus camaldulensis",144.84333,-37.74667
"Eucalyptus camaldulensis",144.24061,-37.97156
"Eucalyptus camaldulensis",145.38858,-36.16559
"Eucalyptus camaldulensis",142.23333,-37.43333
"Eucalyptus camaldulensis",144.82917,-37.72917
"Eucalyptus camaldulensis",142.76639,-34.5835
"Eucalyptus camaldulensis",141.2518,-36.86306
"Eucalyptus camaldulensis",146.59359,-36.15989
"Eucalyptus camaldulensis",142.89,-34.72583
"Eucalyptus camaldulensis",145,-36.03722
"Eucalyptus camaldulensis",142.0343,-37.5703
"Eucalyptus camaldulensis",145.76042,-36.68752
"Eucalyptus camaldulensis",144.68529,-36.31448
"Eucalyptus camaldulensis",145.50164,-36.73011
"Eucalyptus camaldulensis",144.12315,-38.07047
"Eucalyptus camaldulensis",144.09101,-38.24937
"Eucalyptus camaldulensis",143.14752,-37.17862
"Eucalyptus camaldulensis",145.06583,-37.72278
"Eucalyptus camaldulensis",142.34701,-34.75419
