"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-33.717595,151.091684
"Eucalyptus saligna",-32.30408,152.128448
"Eucalyptus saligna",-33.709299,151.271806
"Eucalyptus saligna",-33.708722,151.074946
"Eucalyptus saligna",-33.350339,151.343507
"Eucalyptus saligna",-32.24457,151.99235
"Eucalyptus saligna",-23.75,149.06667
"Eucalyptus saligna",-32.2167,151.6
"Eucalyptus saligna",-24.3833,151
"Eucalyptus saligna",-28.320278,152.616944
"Eucalyptus saligna",-35.518924,150.264129
"Eucalyptus saligna",-32.254327,151.770908
"Eucalyptus saligna",-33.743011,150.686159
"Eucalyptus saligna",-33.65346,150.953681
"Eucalyptus saligna",-31.3011,152.618
"Eucalyptus saligna",-31.437514,151.894214
"Eucalyptus saligna",-28.579898,153.214476
"Eucalyptus saligna",-29.617644,152.340504
"Eucalyptus saligna",-31.233219,151.890266
"Eucalyptus saligna",-31.640824,152.700982
"Eucalyptus saligna",-30.081732,152.621862
"Eucalyptus saligna",-31.205109,152.456273
"Eucalyptus saligna",-30.08586,152.343167
"Eucalyptus saligna",-33.576661,150.335603
"Eucalyptus saligna",-33.744966,151.045952
"Eucalyptus saligna",-33.345162,151.380343
"Eucalyptus saligna",-33.7896,151.11506
"Eucalyptus saligna",-33.280231,151.407762
"Eucalyptus saligna",-31.262696,151.882898
"Eucalyptus saligna",-29.825088,152.216543
"Eucalyptus saligna",-31.279475,152.344489
"Eucalyptus saligna",-31.261997,151.881717
"Eucalyptus saligna",-33.485786,151.425181
"Eucalyptus saligna",-28.915084,152.317752
"Eucalyptus saligna",-32.19301,151.987525
"Eucalyptus saligna",-31.64805,152.190046
"Eucalyptus saligna",-33.677936,151.304373
"Eucalyptus saligna",-29.60977,152.471843
"Eucalyptus saligna",-33.326651,151.353531
"Eucalyptus saligna",-33.937794,151.119566
"Eucalyptus saligna",-32.21645,151.754669
"Eucalyptus saligna",-31.68568,151.635126
"Eucalyptus saligna",-33.897577,151.189982
"Eucalyptus saligna",-31.895964,151.621085
"Eucalyptus saligna",-33.801169,151.267048
"Eucalyptus saligna",-33.356165,151.351529
"Eucalyptus saligna",-33.937645,151.119181
"Eucalyptus saligna",-31.271953,152.373954
"Eucalyptus saligna",-33.755111,150.973762
"Eucalyptus saligna",-31.58895,151.612475
"Eucalyptus saligna",-29.940988,152.336661
"Eucalyptus saligna",-31.227256,151.892124
"Eucalyptus saligna",-30.13672,152.517824
"Eucalyptus saligna",-31.522942,151.774059
"Eucalyptus saligna",-29.941223,152.22897
"Eucalyptus saligna",-31.436148,152.074022
"Eucalyptus saligna",-29.278453,152.406052
"Eucalyptus saligna",-30.898695,152.213295
"Eucalyptus saligna",-31.620868,152.291696
"Eucalyptus saligna",-33.710329,151.115774
"Eucalyptus saligna",-32.294153,152.085796
"Eucalyptus saligna",-34.661437,150.627572
"Eucalyptus saligna",-33.140998,151.423458
"Eucalyptus saligna",-31.606351,152.168496
"Eucalyptus saligna",-30.753177,152.616594
"Eucalyptus saligna",-28.551802,152.333502
"Eucalyptus saligna",-33.41318,151.320369
"Eucalyptus saligna",-33.652334,151.316679
"Eucalyptus saligna",-30.080063,152.641008
"Eucalyptus saligna",-34.762314,150.481718
"Eucalyptus saligna",-33.740919,151.062467
"Eucalyptus saligna",-30.374055,152.780782
"Eucalyptus saligna",-33.690606,151.091769
"Eucalyptus saligna",-34.81406,150.528132
"Eucalyptus saligna",-34.734094,150.505605
"Eucalyptus saligna",-32.399493,152.10649
"Eucalyptus saligna",-31.585884,152.583711
"Eucalyptus saligna",-33.789392,151.263182
"Eucalyptus saligna",-33.79944,151.259522
"Eucalyptus saligna",-32.601857,151.893686
"Eucalyptus saligna",-34.720809,150.464298
"Eucalyptus saligna",-33.716,151.125
"Eucalyptus saligna",-33.743873,150.972548
"Eucalyptus saligna",-30.159586,152.838711
"Eucalyptus saligna",-33.744235,151.03334
"Eucalyptus saligna",-30.30502,152.981498
"Eucalyptus saligna",-30.594113,152.249018
"Eucalyptus saligna",-32.151436,151.512317
"Eucalyptus saligna",-31.432432,152.906954
"Eucalyptus saligna",-33.422195,151.396853
"Eucalyptus saligna",-33.421146,151.36763
"Eucalyptus saligna",-30.411394,152.698105
"Eucalyptus saligna",-28.327104,152.569546
"Eucalyptus saligna",-33.447546,151.367526
"Eucalyptus saligna",-32.1553,151.9693
"Eucalyptus saligna",-32.891061,151.138122
"Eucalyptus saligna",-33.698077,151.210855
"Eucalyptus saligna",-33.325909,151.36595
"Eucalyptus saligna",-30.901318,152.217187
